50k mean,200k mean,50k var,200k var,kernel_size,epochs_choice,learning_rate,activation_fn,Name
0.1361907133612781,0.11464372433349486,1.9541281868146423e-05,5.863575613198252e-06,5,10,1e-05,ReLU,3DCNN_50000_5_ReLU_10_1e-05_4
0.1698824934052924,0.13690830996098613,2.5276603204106145e-06,3.015985811802311e-05,5,10,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_10_1e-05_4
0.11745605242314433,0.09949260576280454,3.4117389155407155e-06,5.031350612254501e-06,5,15,0.001,ReLU,3DCNN_50000_5_ReLU_15_0.001_4
0.12794044357687231,0.11169844321894147,3.645442870578574e-06,1.8501531530472605e-05,5,15,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_15_0.001_4
0.11866519805255031,0.10394529142205915,5.578672229572332e-06,1.0984170874401275e-05,5,15,0.0001,ReLU,3DCNN_50000_5_ReLU_15_0.0001_4
0.13602858205797766,0.11902235643578067,1.096950432524024e-05,1.155908276253342e-05,5,15,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_15_0.0001_4
0.13047349003044265,0.1126581299640238,2.651117769920486e-05,9.9168373180178e-06,5,15,1e-05,ReLU,3DCNN_50000_5_ReLU_15_1e-05_4
0.1622666913097103,0.12570105975512413,1.6699296988596066e-05,3.3408249348913165e-06,5,15,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_15_1e-05_4
0.11478658984837431,0.09700654971897597,3.4414185479192677e-06,1.0967222694485207e-06,5,20,0.001,ReLU,3DCNN_50000_5_ReLU_20_0.001_4
0.12544254290945825,0.1042520943075418,7.708743977509539e-07,3.461641981387947e-06,5,20,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_20_0.001_4
0.11836222858565547,0.09980970306843513,6.960215595102215e-08,6.750751828002039e-06,5,20,0.0001,ReLU,3DCNN_50000_5_ReLU_20_0.0001_4
0.13139181635156275,0.11142139386907213,3.5454495163345785e-06,8.888564735918762e-06,5,20,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_20_0.0001_4
0.13025622444475687,0.11240013735344011,3.3360456846436972e-06,1.2408840826253834e-06,5,20,1e-05,ReLU,3DCNN_50000_5_ReLU_20_1e-05_4
0.1486918340078244,0.12387887777847546,2.061190816024028e-06,6.88928023027644e-06,5,20,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_20_1e-05_4
0.1147418241371711,0.09888901186057669,1.2010012692168375e-05,1.4859604537310522e-05,5,25,0.001,ReLU,3DCNN_50000_5_ReLU_25_0.001_4
0.12690635407678777,0.10533014122235274,1.5280602784299783e-05,2.2845587848195383e-05,5,25,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_25_0.001_4
0.1134046922627836,0.09645279850425816,6.779963529738977e-07,1.2277669425936077e-06,5,25,0.0001,ReLU,3DCNN_50000_5_ReLU_25_0.0001_4
0.1269555152057359,0.10838127590951817,4.657723433998651e-06,6.026807339873827e-07,5,25,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_25_0.0001_4
0.12438219261740642,0.1055307218817373,8.114278584091187e-06,5.376889996407243e-07,5,25,1e-05,ReLU,3DCNN_50000_5_ReLU_25_1e-05_4
0.15112842213412123,0.11713439951334144,1.0162987553231016e-05,1.7210816293107873e-06,5,25,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_25_1e-05_4
0.11496873699674999,0.10207220290352899,4.58975020736021e-06,0.00013690644004460889,5,30,0.001,ReLU,3DCNN_50000_5_ReLU_30_0.001_4
0.1255674026922633,0.10163246449008584,7.450689800882272e-05,1.7740525452376467e-05,5,30,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_30_0.001_4
0.11642339145789543,0.0951755690367271,3.362008978402309e-06,4.800281937923043e-06,5,30,0.0001,ReLU,3DCNN_50000_5_ReLU_30_0.0001_4
0.1268607660947988,0.10747588343409198,6.043366179553849e-06,1.9358496230946566e-06,5,30,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_30_0.0001_4
0.1255117476093272,0.10209318559716145,2.4207903264733432e-06,7.013685846759148e-08,5,30,1e-05,ReLU,3DCNN_50000_5_ReLU_30_1e-05_4
0.14131840763315556,0.11817499006278809,3.8900640792301555e-05,5.411699574527252e-05,5,30,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_30_1e-05_4
