"Name","train_loss","validation_loss","State","Notes","User","Tags","Created","Runtime","Sweep","activation_fn","architecture","batch_size","epochs_choice","input_dim","kernel_size","learning_rate","loss","nblocks","nneighbor","num_class","num_parameters","num_point","training_set","transformer_dim","avg_loss_per_batch","batch loss","cumulative_loss","epoch","r2","time","train_time","validate_time","evaluation time","inference time","inference_time_train","inference_time_train_ms","inference_time_validation_ms","load_time_batch_ms","load_time_train_ms","train_time_batch_ms","validate loss","validate time","validate_time_batch_ms"
"3DCNN_200000_3_Sigmoid_10_0.0001_4","0.12860412488366477","0.1281207567796111","finished","-","changli_824","","2024-04-15T14:15:47.000Z","11682","","Sigmoid","3DCNN_64_stride1","4","10","","3","0.0001","","","","","18811","","200000","","","0.045738860964775085","","9","0.5215082365377682","","1140","28","","","","3.6079883575439458","0.9784698486328124","8.290209970474242","7.49516487121582","3.604203926417608","","","1.0790533808819265"
"3DCNN_200000_5_Sigmoid_15_0.001_4","0.10969023431136272","0.11033712931275368","finished","-","changli_824","","2024-04-15T13:54:14.000Z","18918","","Sigmoid","3DCNN_64_stride1","4","15","","5","0.001","","","","","85647","","200000","","","0.18721283972263336","","14","0.6078124991667488","","1227","29","","","","3.4818649291992188","0.9677410125732422","8.051778573989868","9.190797805786133","3.697131318696906","","","1.1524898460112425"
"3DCNN_200000_5_Sigmoid_10_1e-05_4","0.13463296037564054","0.14323032852262255","finished","-","changli_824","","2024-04-15T13:12:29.000Z","12621","","Sigmoid","3DCNN_64_stride1","4","10","","5","0.00001","","","","","85647","","200000","","","0.11048483103513718","","9","0.5217146701971644","","1242","29","","","","4.531383514404297","0.9739398956298828","7.976784200668335","6.868600845336914","3.5498525934663863","","","1.0160261368655776"
"3DCNN_200000_5_Sigmoid_20_0.001_4","0.10301932373404504","0.10259092781804502","finished","-","changli_824","","2024-04-15T13:12:00.000Z","25279","","Sigmoid","3DCNN_64_stride1","4","20","","5","0.001","","","","","85647","","200000","","","0.24311688542366028","","19","0.6445285787683833","","1237","30","","","","3.8347244262695312","1.1658668518066406","8.438905096054079","7.496118545532227","3.607115590064424","","","1.104515527625639"
"3DCNN_200000_3_Sigmoid_20_0.0001_4","0.11674856181893498","0.11734575151689353","finished","-","changli_824","","2024-04-15T12:59:23.000Z","22907","","Sigmoid","3DCNN_64_stride1","4","20","","3","0.0001","","","","","18811","","200000","","","0.12664972245693207","","19","0.5961065049085486","","1150","26","","","","3.6253929138183594","1.5637874603271484","8.289342436790466","8.428096771240234","3.7285381900141017","","","1.1011027906793187"
"3DCNN_200000_5_ReLU_25_1e-05_4","0.09804849155941978","0.1057959030393511","finished","-","changli_824","","2024-04-15T12:41:15.000Z","31913","","ReLU","3DCNN_64_stride1","4","25","","5","0.00001","","","","","85647","","200000","","","0.1277097761631012","","24","0.663335772666539","","1237","29","","","","3.5064220428466797","1.0235309600830078","7.9933185338974","7.840871810913086","3.641726627758107","","","1.1409678133616006"
"3DCNN_200000_3_ReLU_25_1e-05_4","0.12432543412868864","0.1227219439085573","finished","-","changli_824","","2024-04-15T12:15:15.000Z","29377","","ReLU","3DCNN_64_stride1","4","25","","3","0.00001","","","","","18811","","200000","","","0.051609110087156296","","24","0.5787660941364242","","1140","28","","","","3.265380859375","0.9624958038330078","8.235087394714355","9.169578552246094","3.757842198971105","","","1.1504312116936986"
"3DCNN_200000_3_ReLU_15_0.001_4","0.11122936028848404","0.12008829736337066","finished","-","changli_824","","2024-04-15T12:09:26.000Z","17227","","ReLU","3DCNN_64_stride1","4","15","","3","0.001","","","","","18811","","200000","","","0.012117832899093628","","14","0.6295377747630454","","1110","25","","","","3.354787826538086","1.003742218017578","7.73798406124115","6.996631622314453","3.602209780830983","","","1.0813399012309002"
"3DCNN_200000_3_ReLU_30_0.001_4","0.10250678435668815","0.10495906506888568","finished","-","changli_824","","2024-04-15T11:52:38.000Z","35604","","ReLU","3DCNN_64_stride1","4","30","","3","0.001","","","","","18811","","200000","","","0.0752447098493576","","29","0.6661665434128912","","1159","28","","","","3.7937164306640625","1.2285709381103516","8.483925232887268","6.727457046508789","3.7462824796480905","","","1.151947419806178"
"3DCNN_200000_5_Sigmoid_25_1e-05_4","0.11628390246906316","0.11853716532252728","finished","-","changli_824","","2024-04-15T11:41:28.000Z","32966","","Sigmoid","3DCNN_64_stride1","4","25","","5","0.00001","","","","","85647","","200000","","","0.16103258728981018","","24","0.5723775408566096","","1282","30","","","","3.9262771606445312","1.2753009796142578","8.449271454811097","8.730888366699219","3.978721125885639","","","1.21457634201969"
