"Name","train_loss","validation_loss","State","Notes","User","Tags","Created","Runtime","Sweep","activation_fn","architecture","batch_size","epochs_choice","input_dim","kernel_size","learning_rate","loss","nblocks","nneighbor","num_class","num_parameters","num_point","training_set","transformer_dim","avg_loss_per_batch","batch loss","cumulative_loss","epoch","r2","time","train_time","validate_time","evaluation time","inference time","inference_time_train","inference_time_train_ms","inference_time_validation_ms","load_time_batch_ms","load_time_train_ms","train_time_batch_ms","validate loss","validate time","validate_time_batch_ms"
"3DCNN_50000_3_ReLU_5_0.001_4","0.12918394634619354","0.13212653635293245","finished","-","changli_824","","2024-04-20T10:05:35.000Z","60557","","ReLU","3DCNN_256_stride1_new","4","5","","3","0.001","","","","","1008363","","50000","","","0.056027382612228394","","4","0.6249034505225464","","11169","881","","","","4.623889923095703","1.2996196746826172","246.22391426086423","266.2158012390137","5.410021720073813","","","1.275365802657652"
"3DCNN_10000_5_ReLU_10_0.0001_4","0.10984092312529684","0.13234652064815164","finished","-","changli_824","","2024-04-18T07:48:52.000Z","32777","","ReLU","3DCNN_256_stride1_new","4","10","","5","0.0001","","","","","4650239","","10000","","","0.09981434047222136","","9","0.5786382779141133","","2475","861","","","","4.273176193237305","1.2218952178955078","179.74934310913085","203.01485061645508","4.059804395499478","","","2.6379180241780107"
"3DCNN_50000_3_Sigmoid_10_0.001_4","0.1190965741788596","0.13349832917749882","finished","-","changli_824","","2024-04-19T02:42:41.000Z","113034","","Sigmoid","3DCNN_256_stride1_new","4","10","","3","0.001","","","","","1008363","","50000","","","0.1746528446674347","","9","0.5660653812789858","","10519","722","","","","4.933357238769531","1.1658668518066406","194.1935685157776","176.8648624420166","4.849308772121457","","","1.421645941983265"
"3DCNN_50000_5_ReLU_5_1e-05_4","0.12405733510397376","0.1342508962161839","finished","-","changli_824","","2024-04-20T10:05:35.000Z","70697","","ReLU","3DCNN_256_stride1_new","4","5","","5","0.00001","","","","","4650239","","50000","","","0.14912113547325134","","4","0.5845141211315061","","13253","1007","","","","4.513978958129883","1.4483928680419922","253.0923257637024","292.0794486999512","5.556853605901078","","","1.3540866384544523"
"3DCNN_50000_5_Sigmoid_5_0.0001_4","0.14018505071647466","0.13426408099010587","finished","-","changli_824","","2024-04-20T11:14:57.000Z","67754","","Sigmoid","3DCNN_256_stride1_new","4","5","","5","0.0001","","","","","4650239","","50000","","","0.11300336569547652","","4","0.5495004018377576","","12684","822","","","","4.759311676025391","1.171112060546875","201.5814386177063","202.27932929992676","4.669232574627817","","","1.3541555787664818"
"3DCNN_10000_3_ReLU_10_0.001_4","0.13473119755536317","0.13430668911486865","finished","-","changli_824","","2024-04-18T11:47:26.000Z","28334","","ReLU","3DCNN_256_stride1_new","4","10","","3","0.001","","","","","1008363","","10000","","","0.12775754928588867","","9","0.5860516652349668","","2161","805","","","","3.690481185913086","1.163482666015625","211.457963180542","255.02681732177737","5.3152035517864915","","","1.5149321422040702"
"3DCNN_50000_3_ReLU_5_1e-05_4","0.13071036040216685","0.13439361053928733","finished","-","changli_824","","2024-04-20T16:14:54.000Z","57581","","ReLU","3DCNN_256_stride1_new","4","5","","3","0.00001","","","","","1008363","","50000","","","0.196927547454834","","4","0.5791664459824946","","10869","687","","","","3.8716793060302734","1.208782196044922","215.0972022056579","201.0202407836914","4.438669649098185","","","2.175560629511454"
"3DCNN_50000_5_Sigmoid_15_1e-05_4","0.13500131231687962","0.13497760665565728","finished","-","changli_824","","2024-04-19T02:42:10.000Z","202899","","Sigmoid","3DCNN_256_stride1_new","4","15","","5","0.00001","","","","","4650239","","50000","","","0.09073565155267715","","14","0.5448751105464003","","13180","943","","","","3.812551498413086","1.179218292236328","246.79064582824705","244.48084831237793","5.342323594898868","","","1.6985184696304751"
"3DCNN_50000_5_Sigmoid_5_0.001_4","0.13570987504437565","0.1371026022054255","finished","-","changli_824","","2024-04-20T12:34:53.000Z","68823","","Sigmoid","3DCNN_256_stride1_new","4","5","","5","0.001","","","","","4650239","","50000","","","0.1254071742296219","","4","0.5429755486273526","","12644","935","","","","3.732442855834961","1.1799335479736328","215.86129749298095","224.58696365356445","4.806533863870882","","","1.2048252136353028"
"3DCNN_10000_5_ReLU_10_0.001_4","0.13167317862138153","0.13866152092814446","finished","-","changli_824","","2024-04-18T07:48:52.000Z","38227","","ReLU","3DCNN_256_stride1_new","4","10","","5","0.001","","","","","4650239","","10000","","","0.19035790860652924","","9","0.5844393431588035","","2770","1113","","","","3.8192272186279297","1.224994659423828","307.04249868392947","320.30487060546875","6.798449194574931","","","1.3579910538761493"
"3DCNN_50000_3_Sigmoid_10_0.0001_4","0.12525223673038186","0.1397937979079783","finished","-","changli_824","","2024-04-19T02:42:10.000Z","117056","","Sigmoid","3DCNN_256_stride1_new","4","10","","3","0.0001","","","","","1008363","","50000","","","0.07243185490369797","","9","0.503864811059967","","10814","879","","","","3.797292709350586","1.165151596069336","198.19875862121583","172.47819900512695","4.502550633646566","","","1.7649704193973157"
"3DCNN_10000_5_ReLU_5_0.0001_4","0.1364604575626552","0.13995684572942554","finished","-","changli_824","","2024-04-18T07:48:53.000Z","16827","","ReLU","3DCNN_256_stride1_new","4","5","","5","0.0001","","","","","4650239","","10000","","","0.15582521259784698","","4","0.5520167468343442","","2558","798","","","","3.7081241607666016","1.2516975402832031","176.060573387146","179.08811569213867","5.331034736939702","","","1.3823230582547477"
"3DCNN_10000_3_Sigmoid_15_0.001_4","0.13574379491657018","0.14346141642555593","finished","-","changli_824","","2024-04-18T07:48:52.000Z","41631","","Sigmoid","3DCNN_256_stride1_new","4","15","","3","0.001","","","","","1008363","","10000","","","0.09066399931907654","","14","0.4832355387116569","","2063","715","","","","3.896951675415039","1.168012619018555","176.14701547622678","163.9997959136963","4.577520669224751","","","2.0852848229159315"
"3DCNN_50000_5_Sigmoid_10_1e-05_4","0.1470258202007413","0.14420021359473467","finished","-","changli_824","","2024-04-19T02:42:10.000Z","138541","","Sigmoid","3DCNN_256_stride1_new","4","10","","5","0.00001","","","","","4650239","","50000","","","0.08587811887264252","","9","0.46595710291118","","12854","768","","","","4.6844482421875","1.459360122680664","198.5782603263855","191.47610664367676","5.092485357609818","","","1.3511997628882229"
"3DCNN_50000_5_Sigmoid_15_0.001_4","0.11163924283929168","0.14565352406352758","finished","-","changli_824","","2024-04-19T02:42:10.000Z","203048","","Sigmoid","3DCNN_256_stride1_new","4","15","","5","0.001","","","","","4650239","","50000","","","0.1669096052646637","","14","0.5773968934617156","","12872","984","","","","3.7221908569335938","1.1937618255615234","241.70858568191528","235.5506420135498","4.850024695965269","","","1.2172115854470127"
"3DCNN_10000_5_ReLU_15_1e-05_4","0.09846410823054612","0.14598787282966078","finished","-","changli_824","","2024-04-18T12:17:12.000Z","48443","","ReLU","3DCNN_256_stride1_new","4","15","","5","0.00001","","","","","4650239","","10000","","","0.05868352949619293","","14","0.5004499358781164","","2505","895","","","","3.836393356323242","1.194477081298828","206.54703187942505","241.135835647583","6.05447637029441","","","1.4168881986993382"
